Change component parameters: Designator = "J1" ("J1"); Footprint = "JAE_DX4R005HJ5R2000"; UniqueID = "\AVHLDKWM\GHLPQEVI" ("\AVHLDKWM\GHLPQEVI")
Change component parameters (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "JAE Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "DX4R005HJ5R2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/DX4R005HJ5R2000/JAE%20Electronics/view-part/554854/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "656-DX4R005HJ5R2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "670-2674-6-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
